                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3009,                 1.2751,                 2.0047,                0.87269,                0.87706,                0.93028,                0.65881,                 1.0439,                0.98467,                 1.7575,              0.0004085,              0.0004085,              0.0004085
                     36,                 1.2674,                  1.241,                 1.9389,                0.69666,                0.80472,                0.80715,                0.56683,                 1.1781,                 1.0849,                 1.8142,             0.00038375,             0.00038375,             0.00038375
                     37,                 1.2394,                 1.1852,                 1.8896,                 0.7175,                    0.8,                0.83842,                0.55662,                 1.1955,                 1.0747,                 1.8337,               0.000359,               0.000359,               0.000359
                     38,                 1.2066,                 1.1157,                   1.87,                0.85946,                   0.98,                0.92396,                0.61896,                 1.1663,                 1.0393,                 1.8608,             0.00033425,             0.00033425,             0.00033425
                     39,                 1.1813,                 1.1902,                 1.8477,                0.86588,                0.90604,                0.91744,                0.59944,                 1.1776,                 1.0235,                 1.8306,              0.0003095,              0.0003095,              0.0003095
                     40,                 1.2496,                 1.2017,                 1.8883,                0.92057,                 0.9088,                0.93708,                0.63575,                 1.0393,                0.99089,                 1.6953,             0.00028475,             0.00028475,             0.00028475
                     41,                0.96158,                 1.2439,                 1.6943,                 0.9021,                0.92104,                0.95231,                0.61571,                 1.1884,                 1.0443,                 1.7921,                0.00026,                0.00026,                0.00026
                     42,                0.89455,                 1.1457,                 1.6575,                 0.9116,                0.92074,                0.95241,                0.60974,                  1.174,                 1.0242,                 1.7911,             0.00023525,             0.00023525,             0.00023525
                     43,                0.90185,                 1.1138,                 1.6493,                0.88663,                0.91971,                0.93239,                0.60014,                 1.2133,                 1.0197,                 1.8348,              0.0002105,              0.0002105,              0.0002105
                     44,                0.87806,                 1.0895,                 1.6099,                0.92977,                   0.91,                0.93695,                0.58997,                 1.1981,                0.97478,                  1.817,             0.00018575,             0.00018575,             0.00018575
                     45,                0.81203,                 1.0296,                 1.5645,                0.92629,                    0.9,                0.94063,                0.62099,                 1.0989,                0.91666,                 1.7286,               0.000161,               0.000161,               0.000161
                     46,                0.84681,                0.98805,                 1.5973,                0.87977,                 0.9112,                0.93705,                 0.6332,                 1.0477,                0.89788,                 1.6686,             0.00013625,             0.00013625,             0.00013625
                     47,                0.83623,                 1.0056,                 1.5844,                0.91171,                   0.94,                0.94313,                0.66797,                0.99119,                0.88075,                 1.6154,              0.0001115,              0.0001115,              0.0001115
                     48,                0.80935,                 1.0287,                 1.5916,                0.87268,                0.94851,                0.94237,                0.66757,                0.98015,                 0.9113,                 1.6159,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.74385,                0.94799,                 1.5225,                0.87674,                   0.96,                0.94125,                0.66982,                0.97837,                0.90585,                 1.6194,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.72669,                0.94218,                 1.4966,                 0.8834,                   0.96,                0.94408,                0.68121,                0.96687,                0.89461,                 1.6159,              3.725e-05,              3.725e-05,              3.725e-05
